Name,Type,Departure,Duration,Arrival,Rating,Cost,Seats_avail,route,ID,seats,AC/Non AC,Sleeper/Seater,Private/Public,Pickup,Drop
KSRTC (Kerala) - 136,Swift Deluxe Non AC Air Bus (2+2),20:30,06h 40m,03:10,3.4,680,31 Seats available,Bangalore_to_Kannur,1,31,AC,Seater,Public,Bangalore,Kannur
KSRTC (Kerala) - 101,Swift Deluxe Non AC Air Bus (2+2),21:15,07h 15m,04:30,4.2,660,31 Seats available,Bangalore_to_Kannur,2,31,AC,Seater,Public,Bangalore,Kannur
KSRTC (Kerala) - 98,Swift Deluxe Non AC Air Bus (2+2),21:55,07h 15m,05:10,3.6,690,31 Seats available,Bangalore_to_Kannur,3,31,AC,Seater,Public,Bangalore,Kannur
KSRTC (Kerala) - 1767,Super Express Non AC Seater Air Bus (2+2),23:10,07h 15m,06:25,4.1,680,31 Seats available,Bangalore_to_Kannur,4,31,AC,Seater,Public,Bangalore,Kannur
NS Transports,NON A/C Sleeper (2+1),22:45,06h 35m,05:20,4.1,749,31 Seats available,Bangalore_to_Kannur,5,31,AC,Sleeper,Private,Bangalore,Kannur
MMK Travels,VE A/C Seater / Sleeper (2+1),22:15,07h 15m,05:30,4.1,700,31 Seats available,Bangalore_to_Kannur,6,31,AC,Sleeper,Private,Bangalore,Kannur
Sugama Tourist,A/C Sleeper (2+1),22:00,07h 30m,05:30,4.1,750,31 Seats available,Bangalore_to_Kannur,7,31,AC,Sleeper,Private,Bangalore,Kannur
AdAshoka Travel and Logistics,A/C Semi Sleeper (2+2),22:30,07h 15m,05:45,3.9,800,31 Seats available,Bangalore_to_Kannur,8,31,AC,Sleeper,Private,Bangalore,Kannur
Kalpaka Travels,NON A/C Seater/ Sleeper (2+1),21:45,07h 35m,05:20,4.0,648,31 Seats available,Bangalore_to_Kannur,9,31,AC,Sleeper,Private,Bangalore,Kannur
DLT BUS,A/C Sleeper (2+1),22:30,07h 30m,06:00,4.3,800,31 Seats available,Bangalore_to_Kannur,10,31,AC,Sleeper,Private,Bangalore,Kannur
GOLDEN TRAVEL AGENCIES,NON A/C Sleeper (2+1),22:30,06h 15m,04:45,4.3,749,31 Seats available,Bangalore_to_Kannur,11,31,AC,Sleeper,Private,Bangalore,Kannur
AdGOLDEN TRAVEL AGENCIES,Non A/C Seater / Sleeper (2+1),22:30,06h 30m,05:00,3.6,599,31 Seats available,Bangalore_to_Kannur,12,31,AC,Sleeper,Private,Bangalore,Kannur
GOLDEN TRAVEL AGENCIES,Volvo A/C Semi Sleeper (2+2),22:45,06h 00m,04:45,4.3,799,31 Seats available,Bangalore_to_Kannur,13,31,AC,Sleeper,Private,Bangalore,Kannur
Kalpaka Travels,A/C Sleeper (2+1),22:10,06h 50m,05:00,4.2,899,31 Seats available,Bangalore_to_Kannur,14,31,AC,Sleeper,Private,Bangalore,Kannur
GOLDEN TRAVEL AGENCIES,A/C Sleeper (2+1),21:30,07h 45m,05:15,4.1,849,31 Seats available,Bangalore_to_Kannur,15,31,AC,Sleeper,Private,Bangalore,Kannur
NS Transports,A/C Sleeper (2+1),22:15,07h 30m,05:45,4.4,879,31 Seats available,Bangalore_to_Kannur,16,31,AC,Sleeper,Private,Bangalore,Kannur
NS Transports,Non A/C Seater / Sleeper (2+1),22:00,08h 00m,06:00,4.1,647,31 Seats available,Bangalore_to_Kannur,17,31,AC,Sleeper,Private,Bangalore,Kannur
Ashoka Travel and Logistics,A/C Sleeper (2+1),21:45,07h 45m,05:30,4.3,900,31 Seats available,Bangalore_to_Kannur,18,31,AC,Sleeper,Private,Bangalore,Kannur
National travels and logistics,Bharat Benz A/C Sleeper (2+1),22:30,07h 00m,05:30,3.3,749,31 Seats available,Bangalore_to_Kannur,19,31,AC,Sleeper,Private,Bangalore,Kannur
P K Travels,A/C Sleeper (2+1),22:15,07h 15m,05:30,3.5,765,31 Seats available,Bangalore_to_Kannur,20,31,AC,Sleeper,Private,Bangalore,Kannur
