Name,Type,Start,Duration,End,Rating,Cost,Seats_avail,route,ID
KSRTC (Kerala) - 136,Swift Deluxe Non AC Air Bus (2+2),20:30,06h 40m,03:10,3.4,680,31 Seats available,Bangalore_to_Kannur,1
KSRTC (Kerala) - 101,Swift Deluxe Non AC Air Bus (2+2),21:15,07h 15m,04:30,4.2,660,31 Seats available,Bangalore_to_Kannur,2
KSRTC (Kerala) - 98,Swift Deluxe Non AC Air Bus (2+2),21:55,07h 15m,05:10,3.6,690,31 Seats available,Bangalore_to_Kannur,3
KSRTC (Kerala) - 1767,Super Express Non AC Seater Air Bus (2+2),23:10,07h 15m,06:25,4.1,680,31 Seats available,Bangalore_to_Kannur,4
NS Transports,NON A/C Sleeper (2+1),22:45,06h 35m,05:20,4.1,749,31 Seats available,Bangalore_to_Kannur,5
MMK Travels,VE A/C Seater / Sleeper (2+1),22:15,07h 15m,05:30,4.1,700,31 Seats available,Bangalore_to_Kannur,6
Sugama Tourist,A/C Sleeper (2+1),22:00,07h 30m,05:30,4.1,750,31 Seats available,Bangalore_to_Kannur,7
AdAshoka Travel and Logistics,A/C Semi Sleeper (2+2),22:30,07h 15m,05:45,3.9,800,31 Seats available,Bangalore_to_Kannur,8
Kalpaka Travels,NON A/C Seater/ Sleeper (2+1),21:45,07h 35m,05:20,4,648,31 Seats available,Bangalore_to_Kannur,9
DLT BUS,A/C Sleeper (2+1),22:30,07h 30m,06:00,4.3,800,31 Seats available,Bangalore_to_Kannur,10
GOLDEN TRAVEL AGENCIES,NON A/C Sleeper (2+1),22:30,06h 15m,04:45,4.3,749,31 Seats available,Bangalore_to_Kannur,11
AdGOLDEN TRAVEL AGENCIES,Non A/C Seater / Sleeper (2+1),22:30,06h 30m,05:00,3.6,599,31 Seats available,Bangalore_to_Kannur,12
GOLDEN TRAVEL AGENCIES,Volvo A/C Semi Sleeper (2+2),22:45,06h 00m,04:45,4.3,799,31 Seats available,Bangalore_to_Kannur,13
Kalpaka Travels,A/C Sleeper (2+1),22:10,06h 50m,05:00,4.2,899,31 Seats available,Bangalore_to_Kannur,14
GOLDEN TRAVEL AGENCIES,A/C Sleeper (2+1),21:30,07h 45m,05:15,4.1,849,31 Seats available,Bangalore_to_Kannur,15
NS Transports,A/C Sleeper (2+1),22:15,07h 30m,05:45,4.4,879,31 Seats available,Bangalore_to_Kannur,16
NS Transports,Non A/C Seater / Sleeper (2+1),22:00,08h 00m,06:00,4.1,647,31 Seats available,Bangalore_to_Kannur,17
Ashoka Travel and Logistics,A/C Sleeper (2+1),21:45,07h 45m,05:30,4.3,900,31 Seats available,Bangalore_to_Kannur,18
National travels and logistics,Bharat Benz A/C Sleeper (2+1),22:30,07h 00m,05:30,3.3,749,31 Seats available,Bangalore_to_Kannur,19
P K Travels,A/C Sleeper (2+1),22:15,07h 15m,05:30,3.5,765,31 Seats available,Bangalore_to_Kannur,20
National travels and logistics,Non A/C Seater / Sleeper (2+1),22:40,07h 05m,05:45,3.5,599,31 Seats available,Bangalore_to_Kannur,21
Ashoka Travel and Logistics,NON A/C Semi Sleeper (2+2),22:00,07h 30m,05:30,3.5,600,31 Seats available,Bangalore_to_Kannur,22
Kalpaka Travels,NON A/C Seater/ Sleeper (2+1),22:00,07h 00m,05:00,3.9,665,31 Seats available,Bangalore_to_Kannur,23
Kalpaka Travels,NON A/C Seater/ Sleeper (2+1),22:00,08h 10m,06:10,3.4,648,31 Seats available,Bangalore_to_Kannur,24
GOLDEN TRAVEL AGENCIES,A/C Sleeper (2+1),22:00,06h 55m,04:55,3.9,899,31 Seats available,Bangalore_to_Kannur,25
P K Travels,NON A/C Semi Sleeper (2+2),21:45,07h 15m,05:00,3.9,629,31 Seats available,Bangalore_to_Kannur,26
Kohinoor Travels,A/C Sleeper (2+1),20:30,08h 30m,05:00,3.1,850,31 Seats available,Bangalore_to_Kannur,27
Arya Travels,A/C Sleeper (2+1),19:40,09h 35m,05:15,2.4,795,31 Seats available,Bangalore_to_Kannur,28
KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:00,08h 10m,00:10,3.5,677,25 Seats available,Bangalore_to_Kozhikode,29
KSRTC (Kerala) - 380,Swift Deluxe Non AC Air Bus (2+2),16:15,08h 05m,00:20,3.6,677,25 Seats available,Bangalore_to_Kozhikode,30
KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),16:45,08h 55m,01:40,3.3,762,25 Seats available,Bangalore_to_Kozhikode,31
KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:00,09h 25m,04:25,3.7,762,25 Seats available,Bangalore_to_Kozhikode,32
KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,07h 00m,03:00,3.6,474,25 Seats available,Bangalore_to_Kozhikode,33
KSRTC (Kerala) - 1585,Swift Deluxe Non AC Air Bus (2+2),20:40,09h 05m,05:45,3.6,762,25 Seats available,Bangalore_to_Kozhikode,34
KSRTC (Kerala) - 1586,Swift Deluxe Non AC Air Bus (2+2),21:30,08h 55m,06:25,3.1,762,25 Seats available,Bangalore_to_Kozhikode,35
KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:10,09h 10m,07:20,4.3,762,25 Seats available,Bangalore_to_Kozhikode,36
KSRTC (Kerala) - 54,Garuda Premium,22:25,06h 55m,05:20,3.8,914,25 Seats available,Bangalore_to_Kozhikode,37
KSRTC (Kerala) - 574,Super Express Non AC Seater Air Bus (2+2),23:00,10h 35m,09:35,3.5,667,25 Seats available,Bangalore_to_Kozhikode,38
KSRTC (Kerala) - 583,Super Express Non AC Seater Air Bus (2+2),23:30,10h 15m,09:45,3.9,667,25 Seats available,Bangalore_to_Kozhikode,39
KSRTC (Kerala) - 56,SWIFT-GARUDA A/C SEATER BUS,23:40,10h 10m,09:50,3.9,863,25 Seats available,Bangalore_to_Kozhikode,40
MMK Travels,A/C Seater / Sleeper (2+1),22:30,09h 00m,07:30,4.4,750,25 Seats available,Bangalore_to_Kozhikode,41
SKS Tours & Travels,A/C Sleeper (2+1),21:15,08h 30m,05:45,4.2,849,25 Seats available,Bangalore_to_Kozhikode,42
Skylite Travels,A/C Sleeper (2+1),22:00,08h 30m,06:30,4.1,850,25 Seats available,Bangalore_to_Kozhikode,43
